Name MC MP
Bitcoin ₽129,081,099,294,013 62%
Ethereum ₽39,795,049,713,402 19%
"Tether USDt" ₽9,983,227,962,458 4%
BNB ₽8,541,734,941,175 4%
Solana ₽7,163,522,036,996 3%
XRP ₽3,159,568,335,933 1%
USDC ₽2,998,982,769,598 1%
Dogecoin ₽2,623,018,268,325 1%
Toncoin ₽2,337,399,532,748 1%
Cardano ₽1,939,341,490,039 0%
