Name MC MP
Bitcoin ₽124,159,265,339,344 62%
Ethereum ₽38,385,959,906,907 19%
"Tether USDt" ₽9,994,285,225,293 4%
BNB ₽8,041,698,468,344 4%
Solana ₽6,824,463,828,278 3%
XRP ₽3,074,830,776,591 1%
USDC ₽3,002,048,304,360 1%
Dogecoin ₽2,448,835,567,386 1%
Toncoin ₽2,165,560,496,809 1%
Cardano ₽1,876,288,003,191 0%
